Year,Week,Crop Type,Avg Market Price (RM/KG),Month
2015,13,LADA BENGGALA / CAPSICUM HIJAU,4.77,Mar
2015,13,LIMAU KASTURI,3.18,Mar
2015,13,LIMAU NIPIS,4.44,Mar
2015,13,PERIA,2.27,Mar
2015,13,SALAD BULAT TANAH TINGGI,2.12,Mar
2015,13,SAWI HIJAU (TANAH RENDAH),1.64,Mar
2015,13,TERUNG BULAT,2.76,Mar
2015,13,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.62,Mar
2015,13,TIMUN HIJAU,0.88,Mar
2015,13,TOMATO (TANAH TINGGI),1.9,Mar
2015,14,BAYAM,1.3,Apr
2015,14,CILI HIJAU,4.03,Apr
2015,14,CILI MERAH KULAI / KULAI HIBRID,4.46,Apr
2015,14,CILI MERAH MINYAK,5.45,Apr
2015,14,CILI PADI,15.0,Apr
2015,14,DAUN SUP (TANAH TINGGI),3.75,Apr
2015,14,HALIA MUDA,5.57,Apr
2015,14,KACANG BENDI,3.18,Apr
2015,14,KACANG BUNCIS,3.12,Apr
2015,14,KACANG PANJANG HIJAU,2.08,Apr
2015,14,KAILAN,2.28,Apr
2015,14,KANGKUNG,1.18,Apr
2015,14,KUBIS BULAT (TANAH TINGGI),0.78,Apr
2015,14,LABU MANIS,1.23,Apr
2015,14,LADA BENGGALA / CAPSICUM HIJAU,4.45,Apr
2015,14,LIMAU KASTURI,3.2,Apr
2015,14,LIMAU NIPIS,3.44,Apr
2015,14,PERIA,2.21,Apr
2015,14,SALAD BULAT TANAH TINGGI,2.08,Apr
2015,14,SAWI HIJAU (TANAH RENDAH),1.78,Apr
2015,14,TERUNG BULAT,2.76,Apr
2015,14,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.34,Apr
2015,14,TIMUN HIJAU,0.97,Apr
2015,14,TOMATO (TANAH TINGGI),1.68,Apr
2015,15,BAYAM,1.34,Apr
2015,15,CILI HIJAU,4.12,Apr
2015,15,CILI MERAH KULAI / KULAI HIBRID,4.44,Apr
2015,15,CILI MERAH MINYAK,5.71,Apr
2015,15,CILI PADI,17.94,Apr
2015,15,DAUN SUP (TANAH TINGGI),3.75,Apr
2015,15,HALIA MUDA,5.86,Apr
2015,15,KACANG BENDI,3.08,Apr
2015,15,KACANG BUNCIS,3.06,Apr
2015,15,KACANG PANJANG HIJAU,2.13,Apr
2015,15,KAILAN,2.46,Apr
2015,15,KANGKUNG,1.15,Apr
2015,15,KUBIS BULAT (TANAH TINGGI),0.75,Apr
2015,15,LABU MANIS,1.42,Apr
2015,15,LADA BENGGALA / CAPSICUM HIJAU,4.75,Apr
2015,15,LIMAU KASTURI,3.75,Apr
2015,15,LIMAU NIPIS,3.79,Apr
2015,15,PERIA,2.08,Apr
2015,15,SALAD BULAT TANAH TINGGI,1.91,Apr
2015,15,SAWI HIJAU (TANAH RENDAH),1.99,Apr
2015,15,TERUNG BULAT,2.76,Apr
2015,15,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.27,Apr
2015,15,TIMUN HIJAU,1.15,Apr
2015,15,TOMATO (TANAH TINGGI),1.55,Apr
2015,16,BAYAM,1.38,Apr
2015,16,CILI HIJAU,4.76,Apr
2015,16,CILI MERAH KULAI / KULAI HIBRID,4.69,Apr
2015,16,CILI MERAH MINYAK,5.29,Apr
2015,16,CILI PADI,15.18,Apr
2015,16,DAUN SUP (TANAH TINGGI),3.63,Apr
2015,16,HALIA MUDA,5.93,Apr
2015,16,KACANG BENDI,3.21,Apr
2015,16,KACANG BUNCIS,3.26,Apr
2015,16,KACANG PANJANG HIJAU,2.25,Apr
2015,16,KAILAN,3.06,Apr
2015,16,KANGKUNG,1.23,Apr
2015,16,KUBIS BULAT (TANAH TINGGI),0.9,Apr
2015,16,LABU MANIS,1.44,Apr
2015,16,LADA BENGGALA / CAPSICUM HIJAU,5.23,Apr
2015,16,LIMAU KASTURI,3.83,Apr
2015,16,LIMAU NIPIS,3.42,Apr
2015,16,PERIA,1.95,Apr
2015,16,SALAD BULAT TANAH TINGGI,1.92,Apr
2015,16,SAWI HIJAU (TANAH RENDAH),2.2,Apr
2015,16,TERUNG BULAT,2.33,Apr
2015,16,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.27,Apr
2015,16,TIMUN HIJAU,1.29,Apr
2015,16,TOMATO (TANAH TINGGI),1.52,Apr
2015,17,BAYAM,1.46,Apr
2015,17,CILI HIJAU,4.79,Apr
2015,17,CILI MERAH KULAI / KULAI HIBRID,5.15,Apr
2015,17,CILI MERAH MINYAK,5.72,Apr
2015,17,CILI PADI,17.19,Apr
2015,17,DAUN SUP (TANAH TINGGI),3.45,Apr
2015,17,HALIA MUDA,6.5,Apr
2015,17,KACANG BENDI,3.24,Apr
2015,17,KACANG BUNCIS,3.55,Apr
2015,17,KACANG PANJANG HIJAU,2.15,Apr
2015,17,KAILAN,2.67,Apr
2015,17,KANGKUNG,1.22,Apr
2015,17,KUBIS BULAT (TANAH TINGGI),0.88,Apr
2015,17,LABU MANIS,1.44,Apr
2015,17,LADA BENGGALA / CAPSICUM HIJAU,3.88,Apr
2015,17,LIMAU KASTURI,3.72,Apr
2015,17,LIMAU NIPIS,3.04,Apr
2015,17,PERIA,2.02,Apr
2015,17,SALAD BULAT TANAH TINGGI,2.3,Apr
2015,17,SAWI HIJAU (TANAH RENDAH),2.07,Apr
2015,17,TERUNG BULAT,2.3,Apr
2015,17,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.39,Apr
2015,17,TIMUN HIJAU,1.37,Apr
2015,17,TOMATO (TANAH TINGGI),1.57,Apr
2015,18,BAYAM,1.48,May
2015,18,CILI HIJAU,4.99,May
2015,18,CILI MERAH KULAI / KULAI HIBRID,5.61,May
2015,18,CILI MERAH MINYAK,6.39,May
2015,18,CILI PADI,15.09,May
2015,18,DAUN SUP (TANAH TINGGI),3.38,May
2015,18,HALIA MUDA,6.43,May
2015,18,KACANG BENDI,3.1,May
2015,18,KACANG BUNCIS,3.91,May
2015,18,KACANG PANJANG HIJAU,2.08,May
2015,18,KAILAN,2.56,May
2015,18,KANGKUNG,1.23,May
2015,18,KUBIS BULAT (TANAH TINGGI),0.85,May
2015,18,LABU MANIS,1.5,May
2015,18,LADA BENGGALA / CAPSICUM HIJAU,4.05,May
2015,18,LIMAU KASTURI,3.32,May
2015,18,LIMAU NIPIS,4.2,May
2015,18,PERIA,2.16,May
2015,18,SALAD BULAT TANAH TINGGI,2.82,May
2015,18,SAWI HIJAU (TANAH RENDAH),2.02,May
2015,18,TERUNG BULAT,2.37,May
2015,18,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.26,May
2015,18,TIMUN HIJAU,1.26,May
2015,18,TOMATO (TANAH TINGGI),1.27,May
2015,19,BAYAM,1.44,May
2015,19,CILI HIJAU,5.15,May
2015,19,CILI MERAH KULAI / KULAI HIBRID,5.98,May
2015,19,CILI MERAH MINYAK,6.41,May
2015,19,CILI PADI,14.35,May
2015,19,DAUN SUP (TANAH TINGGI),3.33,May
2015,19,HALIA MUDA,6.64,May
2015,19,KACANG BENDI,3.2,May
2015,19,KACANG BUNCIS,3.55,May
2015,19,KACANG PANJANG HIJAU,2.37,May
2015,19,KAILAN,2.66,May
2015,19,KANGKUNG,1.26,May
2015,19,KUBIS BULAT (TANAH TINGGI),0.88,May
